state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
27,Maharashtra,महाराष्ट्र,27.0,468,Amravati,अमरावती,503.0,4003,Anjangaon Surji,अंजनगाव सुर्जी,4003.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,690,Bhadradri Kothagudem,భద్రాద్రి కొత్తగూడెం,0.0,6268,Annapureddypalli,అన్నపురెడ్డిపల్లి,0.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,536,Dharwad,ಧಾರವಾಡ,562.0,7080,Annigeri,,0.0,2024-10-07
21,Odisha,ODISHA,21.0,344,Anugul,ANUGUL,384.0,3011,Anugul,,3011.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,776,Anupgarh,अनूपगढ़,,462,Anupgarh,,462.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,134,Bulandshahr,BULANDSHAHR,142.0,748,Anupshahr,,748.0,2024-10-07
10,Bihar,BIHAR,10.0,188,Araria,अररिया,209.0,1116,Araria,अररिया,1116.0,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,11,Pulwama,PULWAMA,12.0,6795,Aripal,Aripal,0.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,476,Gondia,गोंदीया,507.0,4050,Arjuni Morgaon,अर्जुनी मोरगाव,4050.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,539,Hassan,ಹಾಸನ,574.0,5558,Arkalgud,ಅರಕಲಗೂಡು,5558.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,539,Hassan,ಹಾಸನ,574.0,5555,Arsikere,ಅರಸೀಕೆರೆ,5555.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,427,Sehore,सीहोर,445.0,3584,Ashta,आष्‍टा,3584.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,470,Beed,बीड,523.0,4215,Ashti,आष्टी,4215.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,105,Jhalawar,JHALAWAR,129.0,6055,Asnawar,ASNAWAR,0.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,511,Kurnool,KURNOOL,552.0,5275,Aspari,,5275.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,128,Banda,BANDA,170.0,873,Atarra,,873.0,2024-10-07
21,Odisha,ODISHA,21.0,344,Anugul,ANUGUL,384.0,3017,Athmallik,,3017.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,527,Belagavi,ಬೆಳಗಾವಿ,555.0,5434,Athni,ಅಥಣಿ,5434.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,572,Dindigul,DINDIGUL,612.0,5994,Athoor,Athoor,0.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,523,West Godavari,పశ్చిమగోదావరి,546.0,4973,Attili,,4973.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,306,Purba Bardhaman,PURBA BARDHAMAN,335.0,2277,Ausgram - I,,2277.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,430,Shajapur,शाजापुर,436.0,6510,Avantipur Barodia,अवंतीपुर बड़ौदिया,0.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,568,Chennai,CHENNAI,603.0,7163,Ayanavaram,அயனாவரம,0.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,530,Vijayapura,ವಿಜಯಾಪುರ,557.0,7069,Babaleshwar,,0.0,2024-10-07
10,Bihar,BIHAR,10.0,206,Madhubani,मधुबनी,207.0,1088,Babubarhi,बाबुबरही,1088.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,689,Jangoan,జనగాం,0.0,4674,Bachannapet,బచ్చన్నపేట,4674.0,2024-10-07
21,Odisha,ODISHA,21.0,354,Ganjam,GANJAM,388.0,3077,Badagada,,3077.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,376,Dakshin Bastar Dantewada,दक्षिण बस्तर दंतेवाड़ा,416.0,6509,Bade Bacheli,BADE BACHELI,0.0,2024-10-07
6,Haryana,HARYANA,6.0,60,Faridabad,FARIDABAD,88.0,6407,Badkhal,बड़खल,0.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,435,Ujjain,उज्जैन,435.0,3514,Badnagar,बड़नगर,3514.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,479,Jalna,जालना,514.0,4128,Badnapur,बदनापूर,4128.0,2024-10-07
6,Haryana,HARYANA,6.0,62,Gurugram,GURUGRAM,86.0,6421,Badshahpur St,बादशाहपुर,0.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,303,North 24 Parganas,NORTH TWENTY FOUR PARGANAS,337.0,2328,Baduria,,2328.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,504,Y.S.R.,,551.0,5210,Badvel,,5210.0,2024-10-07
10,Bihar,BIHAR,10.0,211,Pashchim Champaran,पश्चिम चम्पारण,203.0,1019,Bagaha,,1019.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,487,Nashik,नाशिक,516.0,4145,Baglan,बागलण,4145.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,313,Howrah,HOWRAH,341.0,2409,Bagnan - II,,2409.0,2024-10-07
18,Assam,ASSAM,18.0,294,Kokrajhar,KOKRAJHAR,300.0,2005,Bagribari (Pt),,2005.0,2024-10-07
10,Bihar,BIHAR,10.0,195,Darbhanga,दरभंगा,215.0,1189,Bahadurpur,बहादुरपुर,1189.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,391,Ashoknagar,अशोकनगर,459.0,6978,Bahadurpur,बहादुरपुर,0.0,2024-10-07
6,Haryana,HARYANA,6.0,59,Bhiwani,BHIWANI,81.0,6432,Bahal St,बहल,0.0,2024-10-07
20,Jharkhand,झारखंड,20.0,327,East Singhbum,पूर्वी सिंघभूम,357.0,2614,Baharagora,,2614.0,2024-10-07
34,Puducherry,PUDUCHERRY,34.0,600,Puducherry,புதுச்சேரி,635.0,5912,Bahour,பாகூர்,5912.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,423,Ratlam,रतलाम,434.0,3505,Bajna,बाजना,3505.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,105,Jhalawar,JHALAWAR,129.0,6666,Bakani,Bakani,0.0,2024-10-07
10,Bihar,BIHAR,10.0,191,Begusarai,बेगूसराय,222.0,1316,Bakhri,बखरी,1316.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,700,Medchal Malkajgiri,మేడ్చల్ మల్కాజిగిరి,0.0,4517,Balanagar,బాలానగర్,4517.0,2024-10-07
12,Arunachal Pradesh,ARUNACHAL PRADESH,12.0,242,West Kameng,WEST KAMENG,246.0,6564,Balemu Circle,Balemu Circle,0.0,2024-10-07
21,Odisha,ODISHA,21.0,346,Baleshwar,BALESHWAR,377.0,2897,Baleshwar Sadar,,2897.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,771,Gangapurcity,गंगापुरसिटी,,7360,Balghat,बालघाट,0.0,2024-10-07
21,Odisha,ODISHA,21.0,346,Baleshwar,BALESHWAR,377.0,2893,Baliapal,,2893.0,2024-10-07
6,Haryana,HARYANA,6.0,60,Faridabad,FARIDABAD,88.0,426,Ballabgarh,,426.0,2024-10-07
10,Bihar,BIHAR,10.0,201,Katihar,कटिहार,212.0,1146,Balrampur,बलरामपुर,1146.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,771,Gangapurcity,गंगापुरसिटी,,527,Bamanwas,,527.0,2024-10-07
21,Odisha,ODISHA,21.0,357,Jharsuguda,JHARSUGUDA,371.0,2773,Banaharapali,,2773.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,314,Jalpaiguri,JALPAIGURI,328.0,7118,Banarhat,BANARHAT,0.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,436,Umaria,उमरिया,431.0,3482,Bandhavgarh,बांधवगढ़,3482.0,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,623,Bandipora,BANDIPORA,9.0,41,Bandipora,,41.0,2024-10-07
21,Odisha,ODISHA,21.0,373,Sundargarh,SUNDARGARH,374.0,2830,Banei,,2830.0,2024-10-07
5,Uttarakhand,UTTARAKHAND,5.0,53,Pithoragarh,PITHORAGARH,62.0,6356,Bangapani,,0.0,2024-10-07
10,Bihar,BIHAR,10.0,218,Saran,सारण,219.0,1252,Baniapur,बनियापुर,1252.0,2024-10-07
10,Bihar,BIHAR,10.0,213,Purbi Champaran,पूर्वी चंपारण,204.0,1035,Banjaria,बंजरिया,1035.0,2024-10-07
10,Bihar,BIHAR,10.0,196,Gaya,गया,236.0,1500,Banke Bazar,बांकेबाजार,1500.0,2024-10-07
24,Gujarat,GUJARAT,24.0,453,Navsari,NAVSARI,490.0,3926,Bansda,,3926.0,2024-10-07
20,Jharkhand,झारखंड,20.0,342,Simdega,सिमडेगा,367.0,2726,Bansjor,,2726.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,685,Kamareddy,కామారెడ్డి,0.0,4383,Banswada,బాన్స్ వాడ,4383.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,510,Krishna,KRISHNA,547.0,5019,Bantumilli,,5019.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,772,Phalodi,फलाैदी,,6048,Bap,Bap,0.0,2024-10-07
10,Bihar,BIHAR,10.0,190,Banka,बांका,225.0,1349,Barahat,बाराहट,1349.0,2024-10-07
